,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,unique_suit
45,1,2,1,5,1,7,3,9,3,11,2
46,2,1,2,2,2,4,3,6,4,11,3
47,1,1,1,4,4,9,4,10,4,12,2
48,2,1,3,9,3,9,4,12,4,13,3
49,1,1,2,1,3,3,4,4,4,11,4
50,1,4,2,5,3,7,4,10,4,13,4
51,1,3,1,6,3,7,3,8,3,10,2
52,2,1,3,2,3,4,4,7,4,9,3
53,1,3,1,4,2,8,2,9,4,11,3
54,2,1,2,3,2,4,3,7,4,13,3
55,2,1,2,3,4,5,4,7,4,12,2
56,1,5,2,7,3,12,3,13,3,13,3
57,2,2,2,8,3,8,3,9,4,11,3
58,1,2,1,6,2,8,2,9,3,12,3
59,1,5,2,5,2,7,3,13,4,13,4
60,2,1,3,3,3,5,4,7,4,10,3
61,2,2,2,3,3,10,3,13,4,13,3
62,1,3,1,5,1,6,2,7,3,8,3
63,1,2,2,3,4,8,4,11,4,13,3
64,1,1,2,1,3,4,4,7,4,11,4
65,1,1,2,3,4,4,4,12,4,13,3
66,1,1,3,2,4,4,4,7,4,9,3
67,1,1,1,3,2,5,3,6,4,10,4
68,2,2,2,3,3,6,3,9,4,9,3
69,1,1,3,5,3,5,3,8,4,10,3
70,1,5,2,5,3,7,4,8,4,9,4
71,1,1,3,4,4,5,4,11,4,13,3
72,1,1,1,6,3,8,4,13,4,13,3
73,4,1,4,2,4,4,4,7,4,8,1
74,2,3,3,3,3,5,4,10,4,13,3
75,1,1,2,1,3,4,4,4,4,13,4
76,1,2,2,6,3,10,3,10,4,12,4
77,1,8,2,8,3,9,3,11,4,11,4
78,1,4,1,4,1,5,2,8,2,13,2
79,1,2,1,4,1,4,2,9,4,13,3
80,1,2,3,7,3,8,4,10,4,12,3
81,1,2,2,5,2,6,4,9,4,13,3
82,1,5,3,10,3,11,4,12,4,13,3
83,1,3,2,4,2,7,3,11,3,13,3
84,2,4,2,5,2,6,2,10,3,11,2
85,2,1,3,6,4,9,4,12,4,12,3
86,1,4,1,5,1,8,2,10,3,13,3
87,1,2,2,4,2,7,3,12,4,13,4
88,2,1,3,7,4,11,4,12,4,13,3
89,1,1,1,3,2,4,3,9,4,10,4
90,1,1,2,1,3,2,3,8,3,12,3
91,1,4,1,5,1,8,3,9,4,10,3
92,2,1,2,1,2,4,3,6,3,8,2
93,3,4,3,7,4,11,4,12,4,12,2
94,2,2,3,7,3,8,3,11,4,12,3
95,1,6,2,8,2,11,3,12,3,12,3
96,1,7,1,7,2,8,3,8,4,12,4
97,1,1,1,6,2,9,4,9,4,9,3
98,1,6,1,7,3,7,4,10,4,11,3
99,1,4,2,9,2,9,3,10,4,12,4
100,2,1,2,2,2,3,3,9,3,11,2
101,1,3,1,11,1,12,2,12,4,13,3
102,1,6,2,6,3,7,4,9,4,13,4
103,2,1,2,1,3,2,4,10,4,12,3
104,2,2,2,5,3,8,4,9,4,12,3
105,1,4,2,7,3,9,4,11,4,12,4
106,1,2,2,6,2,8,3,9,4,9,4
107,1,2,2,4,3,7,4,7,4,12,4
108,2,1,2,10,3,11,4,11,4,11,3
109,1,1,2,7,3,11,3,12,4,13,4
110,2,5,3,7,3,8,4,8,4,11,3
111,1,4,2,6,3,8,4,11,4,12,4
112,3,1,3,3,3,10,3,11,4,13,2
113,1,2,2,4,2,5,3,13,4,13,4
114,1,2,1,9,1,10,2,11,3,12,3
115,1,1,1,3,2,4,3,9,3,13,3
116,2,6,2,10,3,12,3,13,4,13,3
117,1,3,1,6,3,9,4,10,4,12,3
118,2,2,3,5,3,5,4,7,4,9,3
119,1,2,2,7,2,7,3,12,4,13,4
120,1,1,2,3,3,5,3,7,4,8,4
121,1,1,2,4,2,5,2,9,4,10,3
122,1,1,2,5,2,10,3,10,4,11,4
123,1,3,2,6,3,7,4,11,4,13,4
124,1,1,1,2,2,11,3,13,4,13,4
125,2,2,2,4,2,7,3,12,4,12,3
126,1,1,2,2,3,2,4,10,4,11,4
127,1,3,1,4,1,8,4,12,4,13,2
128,1,4,2,9,3,11,4,12,4,13,4
129,1,7,2,9,2,10,3,12,4,13,4
130,3,2,3,3,4,8,4,10,4,11,2
131,1,3,2,4,2,7,4,10,4,11,3
132,1,3,1,4,2,4,3,9,4,10,4
133,2,6,2,6,3,10,3,12,4,13,3
134,1,2,2,5,2,11,3,12,4,13,4
135,1,2,2,6,3,7,3,8,4,10,4
136,2,1,2,1,2,6,3,12,4,13,3
137,2,2,3,3,3,8,4,12,4,13,3
138,2,5,2,9,2,10,3,12,4,12,3
139,1,2,2,5,2,6,2,8,4,9,3
140,1,2,3,3,4,4,4,5,4,7,3
141,2,1,3,3,4,6,4,7,4,10,3
142,1,4,2,6,2,7,3,7,4,10,4
143,1,3,1,4,1,6,3,11,4,12,3
144,1,1,1,2,2,4,3,8,3,12,3
145,2,1,3,3,3,5,4,7,4,9,3
146,2,5,2,9,3,10,4,11,4,13,3
147,2,2,2,3,2,7,3,10,3,12,2
148,1,6,1,7,1,8,2,11,4,13,3
149,2,1,3,2,4,3,4,11,4,12,3
150,1,1,2,5,2,12,4,12,4,13,3
151,1,1,2,2,3,6,4,7,4,9,4
152,1,5,1,8,4,9,4,10,4,11,2
153,1,6,2,6,3,7,4,8,4,13,4
154,1,4,2,5,2,9,3,10,4,13,4
155,1,2,2,3,4,4,4,10,4,11,3
156,1,1,2,3,3,5,3,8,3,8,3
157,1,4,2,5,3,5,3,7,3,11,3
158,1,4,1,4,1,5,2,7,4,8,3
159,1,6,2,6,2,10,2,10,3,13,3
160,1,4,3,8,3,9,3,11,4,13,3
161,1,3,1,7,2,7,3,8,4,12,4
162,1,1,1,3,2,5,3,11,3,12,3
163,1,3,1,4,2,6,4,13,4,13,3
164,1,2,2,3,2,4,3,7,4,13,4
165,1,2,1,5,2,7,4,10,4,10,3
166,1,4,2,7,2,7,2,9,3,10,3
167,1,1,1,3,3,8,3,8,4,11,3
168,1,3,3,5,3,7,4,11,4,12,3
169,1,1,2,4,3,5,4,8,4,10,4
170,1,2,1,5,2,10,3,10,4,12,4
171,1,2,4,3,4,6,4,7,4,8,2
172,1,4,1,8,1,9,2,10,4,12,3
173,1,3,2,5,2,6,3,6,4,12,4
174,1,1,3,5,3,7,3,9,4,13,3
175,1,4,2,5,4,6,4,6,4,13,3
176,1,3,2,7,3,8,4,10,4,10,4
177,1,1,2,8,2,9,2,10,3,11,3
178,2,2,2,3,3,4,3,6,4,7,3
179,1,1,1,5,2,7,2,8,4,12,3
180,1,1,1,1,3,5,3,10,4,11,3
181,2,1,3,2,3,9,4,10,4,11,3
182,1,5,2,7,2,7,2,11,3,12,3
183,3,1,4,6,4,11,4,12,4,13,2
184,1,1,1,2,2,3,3,9,4,10,4
185,1,1,1,6,2,10,2,12,3,13,3
186,2,1,2,5,3,9,3,9,3,10,2
187,1,1,1,7,2,7,2,12,2,13,2
188,1,3,2,5,3,6,4,8,4,11,4
189,2,1,2,3,3,7,4,10,4,10,3
190,2,1,2,8,2,11,4,12,4,13,2
191,1,2,2,4,3,5,3,8,4,9,4
192,1,2,2,3,2,4,2,8,3,12,3
193,1,5,2,6,2,10,3,11,4,12,4
194,1,1,2,2,2,11,3,11,4,13,4
195,2,4,2,4,2,6,2,7,4,8,2
196,1,1,3,3,4,3,4,4,4,13,3
197,1,1,2,3,3,3,4,8,4,13,4
198,1,1,3,3,4,4,4,7,4,11,3
199,2,2,2,3,3,7,4,8,4,13,3
200,1,1,2,5,2,5,4,8,4,13,3
201,1,2,2,7,3,9,4,10,4,13,4
202,1,1,2,2,2,9,4,11,4,12,3
203,1,8,1,9,3,10,3,10,4,13,3
204,1,2,3,3,4,4,4,5,4,10,3
205,1,3,4,4,4,8,4,10,4,13,2
206,2,1,2,2,3,8,3,11,4,12,3
207,1,1,1,5,1,6,2,8,3,9,3
208,2,1,2,8,2,9,3,9,3,13,2
209,1,5,3,6,3,10,4,11,4,12,3
210,1,7,1,10,2,12,3,12,3,13,3
211,2,2,2,2,3,7,3,10,4,12,3
212,1,5,2,6,3,7,3,9,4,9,4
213,2,1,2,2,2,4,4,4,4,5,2
214,2,1,3,3,3,8,3,12,4,13,3
215,1,1,1,2,2,8,2,8,3,12,3
216,2,5,2,8,3,10,4,12,4,13,3
217,1,1,1,4,3,11,4,13,4,13,3
218,1,2,2,6,2,7,2,11,4,13,3
219,1,1,2,3,3,8,3,10,4,12,4
220,1,2,1,9,3,11,3,12,3,13,2
221,1,2,1,2,3,9,3,11,3,13,2
222,1,3,1,4,1,6,1,10,2,12,2
223,2,6,2,7,2,8,4,11,4,12,2
224,1,2,2,6,3,10,3,11,3,11,3
225,1,1,2,8,2,9,3,10,4,13,4
226,2,3,2,8,3,11,4,11,4,12,3
227,1,3,1,7,2,8,3,8,4,13,4
228,1,1,1,6,3,9,3,10,4,11,3
229,2,4,2,6,2,9,3,11,4,13,3
230,1,3,1,7,1,8,2,11,3,12,3
231,1,1,1,1,1,3,2,5,3,7,3
232,1,2,2,4,2,7,3,10,4,12,4
233,1,1,1,2,2,4,4,10,4,11,3
234,1,2,1,4,1,9,2,12,4,12,3
235,1,2,2,9,3,10,3,11,4,12,4
236,1,1,1,1,2,3,3,5,4,11,4
237,3,2,3,3,4,7,4,8,4,10,2
238,1,1,2,3,2,4,3,10,3,10,3
239,2,3,2,3,2,4,3,9,3,13,2
240,1,3,1,10,2,10,3,11,3,12,3
241,1,2,2,4,3,5,4,6,4,12,4
242,2,1,2,2,3,4,4,6,4,9,3
243,1,3,2,5,2,5,3,7,4,13,4
244,2,3,2,7,2,8,2,8,4,9,2
245,1,2,1,6,2,7,4,8,4,12,3
246,1,7,1,7,3,8,3,13,4,13,3
247,1,6,1,8,3,9,4,9,4,13,3
248,1,10,1,10,1,11,3,13,4,13,3
249,1,3,1,4,3,6,3,10,4,11,3
250,1,1,3,4,3,5,3,9,4,10,3
251,1,1,2,1,3,11,4,11,4,12,4
252,1,2,2,6,2,8,3,8,4,10,4
253,3,3,4,7,4,7,4,9,4,10,2
254,1,1,2,4,3,6,3,9,4,12,4
255,1,3,2,4,3,6,3,7,3,7,3
256,1,6,2,7,3,8,4,8,4,9,4
257,1,3,3,3,3,7,4,10,4,12,3
258,1,3,2,6,2,11,4,11,4,12,3
259,2,4,2,5,3,6,3,8,3,11,2
260,1,1,2,4,2,8,3,9,3,11,3
261,1,2,1,4,2,5,4,6,4,10,3
262,1,2,2,3,3,4,4,5,4,12,4
263,1,6,1,9,2,10,3,13,3,13,3
264,2,2,3,6,3,7,3,11,4,11,3
265,1,1,1,4,1,5,2,6,3,10,3
266,1,1,1,2,2,6,3,8,4,10,4
267,1,1,1,4,1,6,2,11,4,13,3
268,1,2,1,3,2,4,2,9,3,13,3
269,1,1,2,1,2,6,2,8,3,9,3
270,1,1,3,6,4,8,4,9,4,11,3
271,1,2,2,2,2,4,3,7,3,12,3
272,1,7,1,9,2,10,2,10,3,13,3
273,1,2,2,9,2,11,3,11,4,12,4
274,2,3,2,4,3,4,3,8,4,12,3
275,1,6,2,6,2,7,2,8,3,13,3
276,1,1,1,1,3,3,4,6,4,12,3
277,2,1,2,3,3,11,3,12,4,13,3
278,1,5,1,7,3,9,4,9,4,10,3
279,1,3,2,5,2,6,3,9,4,13,4
280,1,3,2,5,3,5,4,12,4,13,4
281,1,1,1,1,3,4,4,9,4,12,3
282,1,4,1,7,1,8,2,8,2,12,2
283,1,2,2,5,3,7,4,9,4,12,4
284,1,2,2,2,2,3,2,7,4,8,3
285,1,3,1,4,2,5,3,5,4,13,4
286,1,3,2,4,3,10,3,10,4,12,4
287,1,2,2,4,3,4,4,8,4,12,4
288,2,2,3,2,3,6,4,13,4,13,3
289,2,1,4,3,4,6,4,10,4,13,2
290,1,5,2,7,3,8,3,10,3,11,3
291,3,2,4,5,4,6,4,7,4,8,2
292,2,4,3,7,3,11,4,12,4,13,3
293,1,3,1,8,1,9,3,12,4,13,3
294,1,6,2,7,4,9,4,10,4,11,3
295,1,4,1,4,1,7,2,12,4,13,3
296,2,4,2,9,3,9,4,10,4,13,3
297,1,1,2,2,4,4,4,10,4,12,3
298,1,1,2,2,2,2,4,5,4,10,3
299,2,2,2,5,4,5,4,8,4,11,2
300,1,9,1,12,2,12,3,12,4,13,4
301,1,2,2,5,3,6,4,8,4,13,4
302,1,1,3,2,3,2,4,7,4,11,3
303,1,1,2,6,2,7,3,8,4,10,4
304,1,1,1,2,3,7,4,8,4,13,3
305,2,2,3,5,4,7,4,12,4,13,3
306,1,3,1,4,3,5,3,8,3,13,2
307,1,4,1,6,2,9,4,12,4,12,3
308,1,1,1,7,3,11,3,13,4,13,3
309,1,2,2,4,2,6,4,10,4,10,3
310,1,4,2,6,4,11,4,12,4,13,3
311,1,1,2,3,3,6,4,9,4,11,4
312,1,5,1,7,1,7,3,11,4,13,3
313,1,2,3,5,3,6,4,10,4,12,3
314,1,2,1,4,3,8,3,10,3,12,2
315,1,3,1,4,2,8,2,13,4,13,3
316,1,1,1,1,2,6,4,10,4,13,3
317,1,2,1,6,1,6,3,11,3,13,2
318,1,2,1,5,2,8,2,9,3,12,3
319,1,7,1,9,1,11,3,13,4,13,3
320,1,2,1,5,2,6,4,7,4,9,3
321,1,1,2,3,3,4,4,6,4,10,4
322,2,3,2,5,4,6,4,7,4,12,2
323,1,1,1,2,1,5,3,6,4,11,3
324,1,3,2,10,3,12,4,12,4,13,4
325,1,3,2,4,2,5,4,10,4,13,3
326,1,1,1,3,1,3,2,7,2,7,2
327,1,1,1,2,2,5,3,8,3,12,3
328,1,2,1,7,1,8,2,10,3,12,3
329,1,9,2,11,3,11,4,11,4,12,4
330,1,4,1,6,1,7,2,10,4,13,3
331,1,1,1,7,2,9,2,12,2,13,2
332,1,1,1,3,2,4,3,5,3,8,3
333,2,1,2,5,3,6,4,9,4,12,3
334,1,3,3,5,3,7,4,8,4,9,3
335,1,7,2,9,3,9,3,12,4,12,4
336,1,1,3,2,3,4,4,8,4,10,3
337,1,3,3,4,3,7,4,12,4,12,3
338,1,3,1,7,2,7,3,7,4,13,4
339,1,3,2,5,2,7,3,10,3,13,3
340,1,4,1,5,4,7,4,9,4,9,2
341,1,5,3,7,4,7,4,9,4,9,3
342,1,3,1,4,1,7,1,7,3,13,2
343,1,4,3,6,3,7,4,8,4,9,3
344,1,5,1,9,2,9,4,10,4,11,3
345,1,2,1,3,2,4,3,11,4,11,4
346,1,2,2,8,2,11,4,12,4,12,3
347,1,2,1,6,2,13,4,13,4,13,3
348,2,1,2,1,3,2,3,4,4,6,3
349,1,3,1,4,3,6,4,8,4,12,3
350,1,5,1,9,2,9,2,11,4,13,3
351,1,5,1,6,1,7,2,8,3,11,3
352,2,2,3,4,4,5,4,7,4,9,3
353,1,4,2,7,3,9,4,11,4,13,4
354,1,3,2,4,3,6,3,9,3,10,3
355,2,2,3,6,4,8,4,13,4,13,3
356,1,5,2,7,3,10,3,12,4,12,4
357,1,7,2,8,4,12,4,13,4,13,3
358,1,3,1,6,2,6,2,11,3,13,3
359,1,1,3,3,4,7,4,11,4,12,3
360,1,1,1,2,2,5,3,5,3,6,3
361,1,1,1,4,2,8,3,13,3,13,3
362,1,4,2,5,2,5,3,7,4,9,4
363,1,4,2,7,3,7,3,9,4,11,4
364,1,2,1,2,3,8,4,9,4,9,3
365,3,2,3,6,3,7,3,9,4,10,2
366,1,3,3,4,3,7,4,8,4,9,3
367,2,4,2,5,2,7,2,9,3,10,2
368,1,8,2,11,4,12,4,12,4,12,3
369,1,1,1,1,1,4,2,6,4,9,3
370,2,5,2,6,4,10,4,11,4,12,2
371,1,1,1,2,3,7,4,8,4,11,3
372,2,2,2,5,3,7,4,9,4,11,3
373,1,7,2,7,2,8,3,9,4,12,4
374,2,2,2,7,3,9,3,11,4,13,3
375,2,6,3,8,3,8,3,11,4,12,3
376,2,2,4,8,4,9,4,9,4,11,2
377,2,3,3,4,3,4,4,10,4,13,3
378,2,2,2,5,4,10,4,11,4,11,2
379,2,3,3,3,3,7,4,10,4,12,3
380,1,4,2,4,2,5,2,7,3,7,3
381,2,2,3,2,4,3,4,7,4,13,3
382,1,4,2,8,3,9,3,9,3,13,3
383,1,3,1,8,3,8,4,8,4,9,3
384,1,1,2,2,2,3,4,4,4,10,3
385,1,1,1,3,2,4,3,7,3,8,3
386,1,1,1,3,2,7,4,9,4,13,3
387,2,1,2,7,3,9,3,12,4,13,3
388,2,1,3,3,4,4,4,7,4,9,3
389,2,2,3,8,3,11,4,13,4,13,3
390,2,7,2,8,2,9,3,11,4,12,3
391,1,5,1,7,1,9,3,10,4,11,3
392,2,1,2,2,3,9,3,9,4,11,3
393,1,1,2,4,2,7,2,7,3,12,3
394,1,3,2,8,2,8,3,9,3,13,3
395,1,1,2,2,3,6,3,6,4,8,4
396,1,5,1,8,1,12,2,12,4,13,3
397,1,2,2,7,3,10,4,11,4,12,4
398,1,2,2,4,3,7,3,12,4,13,4
399,2,1,3,8,3,9,4,11,4,12,3
400,1,2,2,5,3,7,4,12,4,13,4
401,2,2,2,4,3,5,3,5,4,13,3
402,1,9,2,10,3,11,3,12,4,13,4
403,1,3,1,7,2,7,2,9,3,13,3
404,1,1,2,2,3,6,4,11,4,12,4
405,1,3,1,5,1,7,3,9,3,12,2
406,1,3,1,4,2,7,3,9,4,12,4
407,1,1,2,4,2,7,3,11,4,12,4
408,2,2,2,4,3,11,4,13,4,13,3
409,2,1,2,1,2,3,4,4,4,8,2
410,1,3,1,4,2,5,4,11,4,13,3
411,2,2,2,5,3,5,3,12,4,12,3
412,1,3,2,4,3,8,3,10,4,11,4
413,1,3,1,5,2,6,4,8,4,11,3
414,1,5,1,5,2,6,3,10,4,11,4
415,1,2,2,3,3,5,3,6,3,10,3
416,1,1,2,2,2,10,4,11,4,13,3
417,1,2,1,6,2,9,2,10,3,11,3
418,1,3,1,4,2,8,2,10,4,11,3
419,1,2,2,4,3,4,4,6,4,11,4
420,2,4,2,4,3,9,4,9,4,11,3
421,1,2,1,4,2,6,3,9,4,12,4
422,2,6,2,6,3,8,4,9,4,11,3
423,2,1,2,2,3,5,3,11,3,12,2
424,1,1,2,4,2,5,2,7,3,10,3
425,1,2,1,2,2,7,2,7,3,7,3
426,1,4,2,5,2,5,3,8,3,11,3
427,1,5,2,8,2,9,3,11,3,12,3
428,1,2,3,3,3,6,3,9,3,12,2
429,1,5,2,8,3,8,3,9,4,13,4
430,1,1,1,4,2,8,2,8,3,11,3
431,1,2,2,3,3,5,3,6,4,10,4
432,1,1,2,8,3,9,3,9,4,10,4
433,2,1,2,2,2,5,3,10,4,12,3
434,1,3,1,5,2,7,2,11,2,13,2
435,1,2,1,7,1,10,2,11,3,11,3
436,1,4,1,6,3,10,4,10,4,11,3
437,1,1,2,4,4,8,4,12,4,13,3
438,2,1,2,2,3,6,4,8,4,9,3
439,1,1,2,3,2,5,3,6,4,10,4
440,2,5,3,7,4,7,4,8,4,11,3
441,1,3,1,4,1,7,2,11,3,12,3
442,1,1,1,2,2,3,4,5,4,7,3
443,1,2,2,5,3,11,3,11,4,13,4
444,1,1,1,3,1,3,3,4,3,10,2
445,1,2,2,4,2,12,2,13,4,13,3
446,1,3,2,3,4,3,4,5,4,6,3
447,2,2,2,3,4,6,4,10,4,12,2
448,1,1,1,2,1,2,1,3,2,10,2
449,1,2,2,6,3,13,4,13,4,13,4
450,1,6,3,6,3,8,4,8,4,12,3
451,1,1,2,2,3,7,3,9,4,10,4
452,1,3,2,5,3,9,3,10,3,11,3
453,2,3,2,5,4,6,4,7,4,8,2
454,1,3,1,3,2,8,2,13,4,13,3
455,2,1,2,3,3,8,3,9,4,10,3
456,1,5,2,5,3,9,3,11,4,13,4
457,1,1,1,2,3,2,4,5,4,7,3
458,1,2,2,4,3,6,3,12,3,12,3
459,1,1,2,2,2,6,3,7,3,11,3
460,1,2,1,5,2,8,2,9,4,10,3
461,1,2,1,5,2,11,3,12,4,13,4
462,1,1,1,2,1,3,3,6,4,12,3
463,1,5,1,9,2,11,2,12,2,13,2
464,2,4,2,6,3,7,3,10,4,13,3
465,1,4,2,6,2,7,4,7,4,9,3
466,1,4,1,7,2,11,4,11,4,13,3
467,1,1,3,2,4,4,4,6,4,8,3
468,1,2,1,6,2,8,3,9,4,13,4
469,1,3,2,6,3,6,3,11,4,11,4
470,1,7,1,7,3,9,3,11,4,13,3
471,1,1,1,3,2,4,3,7,4,12,4
472,2,3,2,6,2,7,2,9,3,9,2
473,1,1,2,4,2,7,2,9,3,11,3
474,1,2,1,4,2,8,3,11,4,13,4
475,1,3,1,5,1,6,2,9,4,11,3
476,1,1,2,1,3,1,3,6,4,7,4
477,1,1,2,3,2,4,3,8,3,9,3
478,1,4,2,12,3,12,3,12,4,13,4
479,2,4,2,8,3,9,4,10,4,12,3
480,3,2,3,3,3,11,3,12,4,13,2
481,1,3,1,3,1,4,1,6,3,13,2
482,1,5,1,6,2,6,3,10,3,13,3
483,1,2,2,2,3,2,4,6,4,13,4
484,1,1,1,5,2,9,3,11,4,11,4
485,2,3,2,6,3,9,3,12,4,13,3
486,1,1,2,2,3,3,3,5,4,5,4
487,1,3,1,4,1,4,2,10,4,12,3
488,1,3,1,5,3,6,3,7,4,9,3
489,1,2,2,4,2,6,3,8,4,12,4
490,1,1,3,4,3,5,4,5,4,9,3
491,1,1,1,1,2,8,3,9,4,13,4
492,1,8,1,9,2,10,3,10,4,10,4
493,1,2,2,6,2,8,2,10,3,11,3
494,2,5,3,6,4,6,4,10,4,11,3
495,2,2,2,10,3,10,4,13,4,13,3
496,1,3,2,3,2,6,3,9,3,12,3
497,2,2,2,5,2,10,3,13,4,13,3
498,2,3,2,5,3,7,3,8,4,10,3
499,1,2,1,4,1,4,2,9,4,10,3
500,1,2,1,7,2,9,2,13,3,13,3
501,1,3,2,5,2,6,2,10,4,12,3
502,1,2,2,3,2,4,3,8,3,11,3
503,1,3,1,4,2,8,4,12,4,13,3
504,1,4,3,5,3,5,4,10,4,10,3
505,1,4,2,11,3,12,4,12,4,13,4
506,2,1,3,4,4,6,4,8,4,10,3
507,2,3,2,5,3,9,3,9,4,12,3
508,1,1,2,5,3,6,3,7,3,11,3
509,1,3,2,6,2,9,2,10,3,13,3
510,2,3,2,5,3,9,3,10,3,13,2
511,1,6,2,6,2,10,3,13,4,13,4
512,1,3,2,6,3,9,3,9,3,12,3
513,1,1,1,1,2,4,3,4,4,4,4
514,1,5,2,5,3,8,4,10,4,12,4
515,2,3,2,6,2,7,4,10,4,13,2
516,1,4,1,6,1,10,2,12,4,13,3
517,1,2,2,4,2,6,3,7,4,11,4
518,2,4,2,6,2,11,3,12,3,13,2
519,1,9,1,10,2,11,3,11,4,13,4
520,2,2,2,4,3,10,3,10,3,12,2
521,1,4,1,5,3,7,4,9,4,12,3
522,2,1,3,2,4,7,4,8,4,10,3
523,2,7,2,11,2,11,4,12,4,12,2
524,2,3,2,4,3,5,4,10,4,12,3
525,1,3,2,6,3,8,4,12,4,13,4
526,1,1,1,7,2,10,4,11,4,12,3
527,2,2,3,4,4,4,4,10,4,13,3
528,2,1,2,2,3,12,4,13,4,13,3
529,2,3,2,5,3,6,3,7,3,8,2
530,1,6,2,8,2,9,3,9,4,11,4
531,1,1,2,8,2,8,4,10,4,13,3
532,1,3,2,3,3,5,3,8,4,13,4
533,1,1,1,3,3,11,3,12,4,13,3
534,2,3,2,3,2,5,3,6,4,13,3
535,2,4,2,7,3,7,4,10,4,12,3
536,1,6,2,7,3,9,3,11,4,12,4
537,1,4,2,5,2,7,3,7,3,13,3
538,2,2,2,3,2,4,3,7,3,8,2
539,1,3,2,4,2,6,2,10,3,10,3
540,1,2,2,6,3,7,3,8,4,13,4
541,1,1,2,8,3,8,3,10,4,12,4
542,1,1,1,2,2,4,3,5,4,11,4
543,1,1,1,3,2,7,4,8,4,13,3
544,2,2,2,6,3,7,3,10,4,13,3
545,1,2,2,3,3,7,4,10,4,11,4
546,1,1,2,3,2,3,2,13,4,13,3
547,2,2,2,3,2,4,4,11,4,13,2
548,2,3,2,4,3,5,4,7,4,11,3
549,1,4,2,7,4,9,4,10,4,12,3
550,2,3,3,4,3,11,3,12,4,13,3
551,1,3,2,6,3,7,3,12,4,12,4
552,1,6,1,6,2,8,3,8,3,13,3
553,1,1,1,5,3,7,3,8,3,10,2
554,2,1,2,1,2,6,3,7,4,8,3
555,1,3,2,7,2,8,3,10,3,10,3
556,1,1,2,3,3,5,4,7,4,10,4
557,1,1,1,5,3,6,3,9,4,12,3
558,2,3,3,3,3,4,3,8,3,13,2
559,1,2,2,3,3,5,3,12,4,13,4
560,1,1,2,4,3,7,3,9,4,10,4
561,1,4,2,7,3,7,4,11,4,12,4
562,1,7,1,9,2,10,2,13,3,13,3
563,2,1,2,5,3,9,3,10,4,11,3
564,1,2,2,10,2,11,2,11,3,13,3
565,1,3,1,3,1,4,2,8,3,11,3
566,1,2,2,4,3,4,3,5,4,9,4
567,1,1,2,6,2,6,2,9,4,10,3
568,1,6,2,6,3,7,3,10,4,13,4
569,2,3,3,6,3,8,4,11,4,12,3
570,1,2,2,4,2,8,2,9,4,10,3
571,1,6,2,8,2,9,3,13,4,13,4
572,1,1,1,3,1,4,2,7,3,11,3
573,1,1,1,2,2,2,2,7,3,8,3
574,1,1,1,2,2,3,3,4,4,12,4
575,1,3,1,4,2,11,2,12,4,12,3
576,1,1,2,2,3,8,3,11,4,11,4
577,1,1,2,7,2,9,3,11,4,13,4
578,1,4,1,7,2,9,3,10,4,13,4
579,1,3,3,7,3,10,3,11,4,11,3
